framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,8388608,0.1044
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,16777216,0.1729
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,33554432,0.312
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,67108864,0.5735
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,134217728,1.0706
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,4,268435456,2.0656999999999996
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,512,0.01289
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,1024,0.012480000000000002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,2048,0.01239
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,4096,0.01279
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,8192,0.01271
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,16384,0.01354
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,32768,0.01418
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,65536,0.014289999999999999
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,131072,0.01487
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,262144,0.016
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,524288,0.01891
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,1048576,0.02503
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,2097152,0.0359
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,4194304,0.04177
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,8388608,0.06141
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,16777216,0.10490000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,4,33554432,0.17300000000000001
